11:20:43.335 [INFO] (trainer.py:109) Total Epi:     1 Steps:      54 Episode Steps:    54 Return:  54.0000 FPS: 1195.78
11:20:43.339 [INFO] (trainer.py:109) Total Epi:     2 Steps:      79 Episode Steps:    25 Return:  25.0000 FPS: 10564.59
11:20:43.342 [INFO] (trainer.py:109) Total Epi:     3 Steps:     103 Episode Steps:    24 Return:  24.0000 FPS: 10421.04
11:20:43.344 [INFO] (trainer.py:109) Total Epi:     4 Steps:     114 Episode Steps:    11 Return:  11.0000 FPS: 10112.85
11:20:43.347 [INFO] (trainer.py:109) Total Epi:     5 Steps:     131 Episode Steps:    17 Return:  17.0000 FPS: 10095.45
11:20:43.350 [INFO] (trainer.py:109) Total Epi:     6 Steps:     151 Episode Steps:    20 Return:  20.0000 FPS: 9741.22
11:20:43.351 [INFO] (trainer.py:109) Total Epi:     7 Steps:     162 Episode Steps:    11 Return:  11.0000 FPS: 10144.74
11:20:43.353 [INFO] (trainer.py:109) Total Epi:     8 Steps:     173 Episode Steps:    11 Return:  11.0000 FPS: 9902.49
11:20:43.357 [INFO] (trainer.py:109) Total Epi:     9 Steps:     205 Episode Steps:    32 Return:  32.0000 FPS: 11049.22
11:20:43.359 [INFO] (trainer.py:109) Total Epi:    10 Steps:     217 Episode Steps:    12 Return:  12.0000 FPS: 10283.35
11:20:43.364 [INFO] (trainer.py:109) Total Epi:    11 Steps:     267 Episode Steps:    50 Return:  50.0000 FPS: 10668.72
11:20:43.366 [INFO] (trainer.py:109) Total Epi:    12 Steps:     279 Episode Steps:    12 Return:  12.0000 FPS: 9270.79
11:20:43.369 [INFO] (trainer.py:109) Total Epi:    13 Steps:     305 Episode Steps:    26 Return:  26.0000 FPS: 10369.44
11:20:43.373 [INFO] (trainer.py:109) Total Epi:    14 Steps:     336 Episode Steps:    31 Return:  31.0000 FPS: 10793.17
11:20:43.375 [INFO] (trainer.py:109) Total Epi:    15 Steps:     352 Episode Steps:    16 Return:  16.0000 FPS: 10444.87
11:20:43.379 [INFO] (trainer.py:109) Total Epi:    16 Steps:     379 Episode Steps:    27 Return:  27.0000 FPS: 8707.66
11:20:43.383 [INFO] (trainer.py:109) Total Epi:    17 Steps:     415 Episode Steps:    36 Return:  36.0000 FPS: 10765.51
11:20:43.385 [INFO] (trainer.py:109) Total Epi:    18 Steps:     424 Episode Steps:     9 Return:  9.0000 FPS: 9845.92
11:20:43.386 [INFO] (trainer.py:109) Total Epi:    19 Steps:     435 Episode Steps:    11 Return:  11.0000 FPS: 10086.47
11:20:43.388 [INFO] (trainer.py:109) Total Epi:    20 Steps:     450 Episode Steps:    15 Return:  15.0000 FPS: 10355.08
11:20:43.391 [INFO] (trainer.py:109) Total Epi:    21 Steps:     465 Episode Steps:    15 Return:  15.0000 FPS: 9996.13
11:20:43.393 [INFO] (trainer.py:109) Total Epi:    22 Steps:     481 Episode Steps:    16 Return:  16.0000 FPS: 10430.49
11:20:43.396 [INFO] (trainer.py:109) Total Epi:    23 Steps:     511 Episode Steps:    30 Return:  30.0000 FPS: 10333.59
11:20:43.400 [INFO] (trainer.py:109) Total Epi:    24 Steps:     543 Episode Steps:    32 Return:  32.0000 FPS: 10777.23
11:20:43.403 [INFO] (trainer.py:109) Total Epi:    25 Steps:     559 Episode Steps:    16 Return:  16.0000 FPS: 10123.74
11:20:43.406 [INFO] (trainer.py:109) Total Epi:    26 Steps:     584 Episode Steps:    25 Return:  25.0000 FPS: 10467.01
11:20:43.408 [INFO] (trainer.py:109) Total Epi:    27 Steps:     606 Episode Steps:    22 Return:  22.0000 FPS: 10687.22
11:20:43.413 [INFO] (trainer.py:109) Total Epi:    28 Steps:     643 Episode Steps:    37 Return:  37.0000 FPS: 9303.37
11:20:43.415 [INFO] (trainer.py:109) Total Epi:    29 Steps:     652 Episode Steps:     9 Return:  9.0000 FPS: 9826.67
11:20:43.417 [INFO] (trainer.py:109) Total Epi:    30 Steps:     664 Episode Steps:    12 Return:  12.0000 FPS: 10251.28
11:20:43.420 [INFO] (trainer.py:109) Total Epi:    31 Steps:     693 Episode Steps:    29 Return:  29.0000 FPS: 10797.99
11:20:43.422 [INFO] (trainer.py:109) Total Epi:    32 Steps:     703 Episode Steps:    10 Return:  10.0000 FPS: 9397.53
11:20:43.424 [INFO] (trainer.py:109) Total Epi:    33 Steps:     725 Episode Steps:    22 Return:  22.0000 FPS: 10194.75
11:20:43.427 [INFO] (trainer.py:109) Total Epi:    34 Steps:     738 Episode Steps:    13 Return:  13.0000 FPS: 9729.74
11:20:43.429 [INFO] (trainer.py:109) Total Epi:    35 Steps:     750 Episode Steps:    12 Return:  12.0000 FPS: 8135.84
11:20:43.431 [INFO] (trainer.py:109) Total Epi:    36 Steps:     763 Episode Steps:    13 Return:  13.0000 FPS: 10217.25
11:20:43.434 [INFO] (trainer.py:109) Total Epi:    37 Steps:     780 Episode Steps:    17 Return:  17.0000 FPS: 8423.76
11:20:43.436 [INFO] (trainer.py:109) Total Epi:    38 Steps:     794 Episode Steps:    14 Return:  14.0000 FPS: 10126.09
11:20:43.440 [INFO] (trainer.py:109) Total Epi:    39 Steps:     830 Episode Steps:    36 Return:  36.0000 FPS: 10618.43
11:20:43.443 [INFO] (trainer.py:109) Total Epi:    40 Steps:     847 Episode Steps:    17 Return:  17.0000 FPS: 9962.08
11:20:43.449 [INFO] (trainer.py:109) Total Epi:    41 Steps:     910 Episode Steps:    63 Return:  63.0000 FPS: 10916.79
11:20:43.451 [INFO] (trainer.py:109) Total Epi:    42 Steps:     927 Episode Steps:    17 Return:  17.0000 FPS: 10573.50
11:20:43.453 [INFO] (trainer.py:109) Total Epi:    43 Steps:     938 Episode Steps:    11 Return:  11.0000 FPS: 9833.47
11:20:43.456 [INFO] (trainer.py:109) Total Epi:    44 Steps:     963 Episode Steps:    25 Return:  25.0000 FPS: 10802.80
11:20:43.458 [INFO] (trainer.py:109) Total Epi:    45 Steps:     973 Episode Steps:    10 Return:  10.0000 FPS: 9200.01
11:20:43.461 [INFO] (trainer.py:109) Total Epi:    46 Steps:     992 Episode Steps:    19 Return:  19.0000 FPS: 10150.03
11:20:43.463 [INFO] (trainer.py:109) Total Epi:    47 Steps:    1005 Episode Steps:    13 Return:  13.0000 FPS: 8884.13
11:20:43.465 [INFO] (trainer.py:109) Total Epi:    48 Steps:    1016 Episode Steps:    11 Return:  11.0000 FPS: 9898.02
11:20:43.468 [INFO] (trainer.py:109) Total Epi:    49 Steps:    1043 Episode Steps:    27 Return:  27.0000 FPS: 10838.65
11:20:43.471 [INFO] (trainer.py:109) Total Epi:    50 Steps:    1067 Episode Steps:    24 Return:  24.0000 FPS: 10446.80
11:20:43.473 [INFO] (trainer.py:109) Total Epi:    51 Steps:    1080 Episode Steps:    13 Return:  13.0000 FPS: 10020.25
11:20:43.475 [INFO] (trainer.py:109) Total Epi:    52 Steps:    1092 Episode Steps:    12 Return:  12.0000 FPS: 9359.04
11:20:43.477 [INFO] (trainer.py:109) Total Epi:    53 Steps:    1111 Episode Steps:    19 Return:  19.0000 FPS: 9690.80
11:20:43.479 [INFO] (trainer.py:109) Total Epi:    54 Steps:    1125 Episode Steps:    14 Return:  14.0000 FPS: 10052.28
11:20:43.482 [INFO] (trainer.py:109) Total Epi:    55 Steps:    1140 Episode Steps:    15 Return:  15.0000 FPS: 9876.11
11:20:43.485 [INFO] (trainer.py:109) Total Epi:    56 Steps:    1165 Episode Steps:    25 Return:  25.0000 FPS: 10567.17
11:20:43.488 [INFO] (trainer.py:109) Total Epi:    57 Steps:    1195 Episode Steps:    30 Return:  30.0000 FPS: 10315.60
11:20:43.491 [INFO] (trainer.py:109) Total Epi:    58 Steps:    1211 Episode Steps:    16 Return:  16.0000 FPS: 9831.89
